,Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,Full_Address,location,point,lat,long
0,1582816,"December 29, 2019",Illinois,Danville,1803  Westview Ave,0,5,,"1803  Westview Ave, Danville Illinois","1803, Westview Avenue, Danville, Vermilion County, Illinois, 61832, United States","(40.1555301092308, -87.61471508589744, 0.0)",40.1555301092308,-87.61471508589744
1,1582197,"December 29, 2019",New York,Buffalo,50  Henrietta Ave,1,3,,"50  Henrietta Ave, Buffalo New York","50, Henrietta Avenue, Buffalo, Erie County, New York, 14207, United States","(42.9563206122449, -78.89934789795919, 0.0)",42.9563206122449,-78.89934789795919
2,1583444,"December 29, 2019",California,Ceres,800  Allacante Dr,0,5,,"800  Allacante Dr, Ceres California","800, Allacante Drive, Ceres, Stanislaus County, California, 95307, United States","(37.590897, -120.981631, 0.0)",37.590897,-120.981631
3,1581590,"December 27, 2019",California,Modesto,1900  Vernon Ave,1,3,,"1900  Vernon Ave, Modesto California","1900, Vernon Avenue, West Modesto, Modesto, Stanislaus County, California, 95351, United States","(37.614474926174495, -121.02792171140939, 0.0)",37.614474926174495,-121.02792171140939
4,1581103,"December 27, 2019",Texas,Houston,500  Smart St,2,7,,"500  Smart St, Houston Texas","Smart Living at Cypress Creek, Houston, Harris County, Texas, United States","(29.95991275, -95.56226793134292, 0.0)",29.95991275,-95.56226793134292
5,1581476,"December 27, 2019",Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,,"1575 Ridenour Pkwy NW, Kennesaw Georgia",,,,
6,1580308,"December 26, 2019",Florida,Saint Petersburg,4300 6th St S,0,5,,"4300 6th St S, Saint Petersburg Florida","4300, 6th Street South, Lakewood Terrace, St. Petersburg, Pinellas County, Florida, 33705, United States","(27.72960872463256, -82.64059860402041, 0.0)",27.72960872463256,-82.64059860402041
7,1579889,"December 25, 2019",California,Oakland,2100  34th Ave,0,4,,"2100  34th Ave, Oakland California","2100, 34th Avenue, Fruitvale, Oakland, Alameda County, California, 94601, United States","(37.783701288590606, -122.21961911409396, 0.0)",37.783701288590606,-122.21961911409396
8,1579970,"December 25, 2019",Iowa,Coralville,954 Boston Way,1,3,,"954 Boston Way, Coralville Iowa","954, Boston Way, Heritage Estates, Coralville, Johnson County, Iowa, 52241, United States","(41.68764192201704, -91.59938873301564, 0.0)",41.68764192201704,-91.59938873301564
9,1579856,"December 25, 2019",Virginia,Richmond,1800 E Main St,1,3,,"1800 E Main St, Richmond Virginia","1800, East Main Street, Shockoe Bottom, Richmond, Virginia, 23223, United States","(37.532898, -77.427455, 0.0)",37.532898,-77.427455
10,1579266,"December 24, 2019",Louisiana,New Orleans,6400  General Meyer Ave,0,4,,"6400  General Meyer Ave, New Orleans Louisiana","6400, General Meyer Avenue, Cutoff, New Orleans, Orleans Parish, Louisiana, 70131, United States","(29.9239098, -89.9842771, 0.0)",29.9239098,-89.9842771
11,1594317,"December 24, 2019",Illinois,Joliet,1200  Cutter Ave,0,5,,"1200  Cutter Ave, Joliet Illinois","1200, Cutter Avenue, Forest Park, Joliet, Will County, Illinois, 60432, United States","(41.546468, -88.053247, 0.0)",41.546468,-88.053247
12,1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,,"1226 Montlieu Ave, High Point North Carolina","1226, Montlieu Avenue, High Point, Guilford County, North Carolina, 27262, United States","(35.979168, -79.980115, 0.0)",35.979168,-79.980115
13,1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,,"225 Park Ave, Baltimore Maryland","225, Park Avenue, Downtown, Baltimore, Maryland, 21201, United States","(39.292552150000006, -76.61785911125338, 0.0)",39.292552150000006,-76.61785911125338
14,1577688,"December 22, 2019",Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,,"8407 Plaza Blvd NE, Minneapolis (Spring Lake Park) Minnesota",,,,
15,1577518,"December 22, 2019",Illinois,Chicago,5700  S May St,0,13,,"5700  S May St, Chicago Illinois","5700, South May Street, Englewood, Chicago, Lake Township, Cook County, Illinois, 60620, United States","(41.790393800000004, -87.65389313950436, 0.0)",41.790393800000004,-87.65389313950436
16,1578711,"December 21, 2019",Louisiana,Edgard,2555 LA-18,0,4,,"2555 LA-18, Edgard Louisiana","2555, LA 18, Edgard, St. John the Baptist Parish, Louisiana, 70049, United States","(30.04650744821958, -90.58454701114957, 0.0)",30.04650744821958,-90.58454701114957
17,1577046,"December 20, 2019",Mississippi,Waynesboro,Turner St,1,6,,"Turner St, Waynesboro Mississippi","Turner Street, Waynesboro, Wayne County, Mississippi, 39367, United States","(31.6646003, -88.6420331, 0.0)",31.6646003,-88.6420331
18,1577438,"December 20, 2019",Alabama,Tuskegee,2900  Davison St,2,2,,"2900  Davison St, Tuskegee Alabama","2900, Davison Street, Tuskegee, Macon County, Alabama, 36088, United States","(32.399309, -85.720013, 0.0)",32.399309,-85.720013
19,1575175,"December 18, 2019",Texas,San Antonio,2418 SW Military Dr,0,4,,"2418 SW Military Dr, San Antonio Texas","2418, Southwest Military Drive, San Antonio, Bexar County, Texas, 78224, United States","(29.35655729032258, -98.53322396774193, 0.0)",29.35655729032258,-98.53322396774193
20,1573754,"December 17, 2019",Montana,Great Falls,1701 10th Ave S,4,1,,"1701 10th Ave S, Great Falls Montana","1701, 10th Avenue South, Great Falls, Cascade County, Montana, 59405, United States","(47.49402992857143, -111.27807394897958, 0.0)",47.49402992857143,-111.27807394897958
21,1572275,"December 15, 2019",Georgia,Columbus,600  32nd St,1,4,,"600  32nd St, Columbus Georgia","600, 32nd Street, North Highlands, Columbus, Muscogee County, Georgia, 31904, United States","(32.493986, -84.984949, 0.0)",32.493986,-84.984949
22,1573471,"December 14, 2019",California,Ivanhoe,15700  Paradise Ave,0,4,,"15700  Paradise Ave, Ivanhoe California","15700, Paradise Avenue, Ivanhoe, Tulare County, California, 93235, United States","(36.381905, -119.220453, 0.0)",36.381905,-119.220453
23,1571348,"December 12, 2019",Missouri,Saint Louis (Moline Acres),9900  Lewis and Clark Blvd,1,3,,"9900  Lewis and Clark Blvd, Saint Louis (Moline Acres) Missouri","9900, Lewis and Clark Boulevard, Moline Acres, Saint Louis County, Missouri, 63136, United States","(38.747073, -90.239697, 0.0)",38.747073,-90.239697
24,1568230,"December 10, 2019",New Jersey,Jersey City,223 Martin Luther King Dr,6,3,,"223 Martin Luther King Dr, Jersey City New Jersey","Martin Luther King Drive, West Bergen, Jersey City, Hudson County, New Jersey, 07305-9997, United States","(40.7147116, -74.0754342, 0.0)",40.7147116,-74.0754342
25,1567932,"December 8, 2019",Texas,Desoto,200  W Wintergreen Rd,2,3,,"200  W Wintergreen Rd, Desoto Texas","200, West Wintergreen Road, DeSoto, Dallas County, Texas, 75115, United States","(32.618494, -96.858505, 0.0)",32.618494,-96.858505
26,1567231,"December 8, 2019",Louisiana,New Orleans,3801 Washington Ave,1,4,,"3801 Washington Ave, New Orleans Louisiana","3801, Washington Avenue, Broadmoor, Uptown, New Orleans, Orleans Parish, Louisiana, 70125, United States","(29.9488906, -90.0990511841542, 0.0)",29.9488906,-90.0990511841542
27,1565216,"December 6, 2019",Florida,Pensacola,280 Taylor Rd,4,8,,"280 Taylor Rd, Pensacola Florida","Francis Taylor Boulevard, Pensacola, Escambia County, Florida, 32504, United States","(30.4780499, -87.1947105, 0.0)",30.4780499,-87.1947105
28,1564524,"December 4, 2019",Alabama,Montgomery,500 Eastdale Rd S,2,2,,"500 Eastdale Rd S, Montgomery Alabama","Eastdale Road South, Montgomery, Montgomery County, Alabama, 36117, United States","(32.376413, -86.204633, 0.0)",32.376413,-86.204633
29,1562043,"December 1, 2019",Louisiana,Cotton Valley,116 Hawthorne Loop,2,3,,"116 Hawthorne Loop, Cotton Valley Louisiana","116, Hawthorne Loop, Cotton Valley, Webster Parish, Louisiana, 71018, United States","(32.813105905196686, -93.42970458367982, 0.0)",32.813105905196686,-93.42970458367982
30,1561966,"December 1, 2019",Louisiana,New Orleans,2000  N Dorgenois St,2,2,,"2000  N Dorgenois St, New Orleans Louisiana","2000, North Dorgenois Street, New Orleans, Orleans Parish, Louisiana, 70119, United States","(29.98224, -90.064844, 0.0)",29.98224,-90.064844
31,1561813,"December 1, 2019",Illinois,Aurora,700  S 5th St,1,4,,"700  S 5th St, Aurora Illinois","700, 5th Street, Aurora, Aurora Township, Kane County, Illinois, 60505, United States","(41.742544, -88.312058, 0.0)",41.742544,-88.312058
32,1562685,"December 1, 2019",Michigan,Kalamazoo,6300  Proctor St,1,3,,"6300  Proctor St, Kalamazoo Michigan",,,,
33,1561734,"December 1, 2019",Louisiana,New Orleans,700  Canal St,0,12,,"700  Canal St, New Orleans Louisiana","Starbucks, 700, Canal Street, Vieux Carre Historic District, Storyville, New Orleans, Orleans Parish, Louisiana, 70119, United States","(29.9530497, -90.0694014, 0.0)",29.9530497,-90.0694014
34,1561398,"November 30, 2019",Arkansas,Hensley,6500  E Sardis Rd,0,5,,"6500  E Sardis Rd, Hensley Arkansas",,,,
35,1560645,"November 29, 2019",Texas,Amarillo,2650 Dumas Dr,0,7,,"2650 Dumas Dr, Amarillo Texas","2650, Dumas Drive, Amarillo, Potter County, Texas, 79107, United States","(35.24087693805399, -101.83087625516222, 0.0)",35.24087693805399,-101.83087625516222
36,1559257,"November 27, 2019",New York,Bronx,E 153rd St and Courtlandt Ave,0,5,,"E 153rd St and Courtlandt Ave, Bronx New York",,,,
